x,y,z
0.462512525,-0.123929858,1.315569669
0.243107449,0,1.378730854
0.210537226,0.121553724,1.378730854
0.121553724,0.210537226,1.378730854
1.49E-17,0.243107449,1.378730854
-0.121553724,0.210537226,1.378730854
-0.210537226,0.121553724,1.378730854
-0.243107449,2.98E-17,1.378730854
-0.210537226,-0.121553724,1.378730854
-0.121553724,-0.210537226,1.378730854
-4.47E-17,-0.243107449,1.378730854
0.121553724,-0.210537226,1.378730854
0.210537226,-0.121553724,1.378730854
8.57E-17,0,1.4
